iter	R2	RMSE
0	0.03539548607	5711.903451
1	0.07037672173	5607.376381
2	0.1002858052	5516.434922
3	0.1291303196	5427.287127
4	0.1581622642	5336.056355
5	0.1853147914	5249.296797
6	0.2085902435	5173.767553
7	0.2338569247	5090.508339
8	0.2572922197	5012.047747
9	0.2793788354	4936.961262
10	0.2995149512	4867.496501
11	0.3181377066	4802.358201
12	0.3374125941	4733.99507
13	0.3543438114	4673.11934
14	0.371127208	4611.982128
15	0.3872869482	4552.340923
16	0.4024765657	4495.558818
17	0.4165992917	4442.113889
18	0.4277235835	4399.558911
19	0.4401137033	4351.671783
20	0.4521494208	4304.644347
21	0.4638002709	4258.626067
22	0.4748205648	4214.635965
23	0.4843866516	4176.074992
24	0.4945550972	4134.691617
25	0.5031566573	4099.358974
26	0.512506541	4060.603731
27	0.5196498765	4030.743536
28	0.5276626527	3996.983506
29	0.5349912191	3965.85462
30	0.5425620916	3933.437818
31	0.5498435332	3902.006241
32	0.556614568	3872.54901
33	0.5631331081	3843.97699
34	0.5685693237	3819.985583
35	0.5741383809	3795.250651
36	0.5797864994	3769.998814
37	0.5849583133	3746.727195
38	0.5898421307	3724.617994
39	0.5947763964	3702.146326
40	0.599174867	3681.999164
41	0.6033666755	3662.695484
42	0.6068174796	3646.727517
43	0.610764254	3628.378389
44	0.6143782313	3611.494718
45	0.6178614061	3595.14709
46	0.6212971688	3578.948828
47	0.624221714	3565.102769
48	0.6272220051	3550.84199
49	0.6302704405	3536.293474
50	0.6331406954	3522.540395
51	0.6356033538	3510.697407
52	0.6380937092	3498.680456
53	0.6405787184	3486.648019
54	0.6427332248	3476.182172
55	0.6449152969	3465.550204
56	0.6466584218	3457.033477
57	0.6486043784	3447.500881
58	0.6506611709	3437.3966
59	0.6525054878	3428.31081
60	0.6542258621	3419.813847
61	0.6559050546	3411.499873
62	0.6576744282	3402.717417
63	0.6587788277	3397.224115
64	0.6603225422	3389.530734
65	0.6618202859	3382.04973
66	0.6632130007	3375.078451
67	0.6644740496	3368.753785
68	0.6657609403	3362.287247
69	0.6670971571	3355.559661
70	0.6678443162	3351.791977
71	0.6691073094	3345.413459
72	0.6701186451	3340.29711
73	0.6711873438	3334.882031
74	0.6718872902	3331.330643
75	0.672775414	3326.819025
76	0.6736910278	3322.161344
77	0.674753353	3316.749153
78	0.6757661498	3311.581057
79	0.6762995388	3308.856036
80	0.677314172	3303.666191
81	0.6781489947	3299.389955
82	0.6791344607	3294.334931
83	0.6799304295	3290.246278
84	0.6806588864	3286.499955
85	0.6812910376	3283.245451
86	0.6819495882	3279.851599
87	0.6827444871	3275.750392
88	0.6835314065	3271.68529
89	0.6841061497	3268.713062
90	0.684879058	3264.711778
91	0.6855922155	3261.015463
92	0.6861464215	3258.140102
93	0.686627041	3255.644471
94	0.6871665087	3252.840988
95	0.6878009085	3249.541071
96	0.688534501	3245.721007
97	0.6890625241	3242.968627
98	0.6897252137	3239.510974
99	0.6902716659	3236.657023
100	0.6909196841	3233.26936
101	0.6915584303	3229.92669
102	0.6919069596	3228.101316
103	0.6925004781	3224.990468
104	0.6930699196	3222.002993
105	0.6934762811	3219.869394
106	0.6937685521	3218.333951
107	0.6942374416	3215.869115
108	0.6944238787	3214.888536
109	0.6947998256	3212.910306
110	0.6952954261	3210.300597
111	0.6958463125	3207.397276
112	0.6961762961	3205.656912
113	0.6965827482	3203.511948
114	0.6969559103	3201.541399
115	0.6971480336	3200.526385
116	0.6975738064	3198.275819
117	0.6978145581	3197.002544
118	0.6980967588	3195.509409
119	0.6986096253	3192.794026
120	0.698933918	3191.075858
121	0.69924626	3189.420132
122	0.6994398304	3188.393584
123	0.6998190356	3186.381612
124	0.700273364	3183.969381
125	0.7006325706	3182.060899
126	0.7010461466	3179.862131
127	0.7012097945	3178.991681
128	0.7015264934	3177.306468
129	0.7017334003	3176.204996
130	0.7018253964	3175.71513
131	0.7021755001	3173.850189
132	0.7024137037	3172.580694
133	0.7026654218	3171.238621
134	0.7027992774	3170.524718
135	0.7030420126	3169.229709
136	0.7031702472	3168.545355
137	0.7033742958	3167.456097
138	0.7037311826	3165.550053
139	0.7039293897	3164.490982
140	0.7041014108	3163.571542
141	0.7042393071	3162.834303
142	0.7044145191	3161.897315
143	0.7048358357	3159.643086
144	0.7052915001	3157.203269
145	0.705361536	3156.8281
146	0.7054280588	3156.47171
147	0.7056615043	3155.220725
148	0.7059848732	3153.48704
149	0.7062036756	3152.313428
150	0.7064038716	3151.239235
151	0.7065168483	3150.632873
152	0.7066975744	3149.662648
153	0.7067640598	3149.305648
154	0.7070685842	3147.669952
155	0.7071256707	3147.363228
156	0.707315869	3146.341082
157	0.707418784	3145.787868
158	0.7074535789	3145.600808
159	0.7075078714	3145.308904
160	0.7076411059	3144.592455
161	0.7077397265	3144.062032
162	0.7078528094	3143.453715
163	0.7080292297	3142.504446
164	0.7082850935	3141.127203
165	0.7083098357	3140.99399
166	0.7084875957	3140.036762
167	0.7090307147	3137.110285
168	0.7092526972	3135.913395
169	0.7094164091	3135.030397
170	0.7095981468	3134.049883
171	0.709618695	3133.939002
172	0.7097505591	3133.22735
173	0.7097509944	3133.225
174	0.7099333808	3132.240419
175	0.7099956278	3131.904319
176	0.7100122376	3131.814629
177	0.7100850795	3131.421264
178	0.7102279468	3130.649602
179	0.7102550193	3130.503355
180	0.7105467554	3128.92695
181	0.710640219	3128.421749
