iter	Passed	Remaining
0	130	64902
1	158	39377
2	225	37320
3	249	30909
4	284	28202
5	313	25800
6	336	23710
7	348	21437
8	371	20290
9	385	18890
10	402	17896
11	432	17608
12	450	16880
13	483	16789
14	502	16235
15	524	15870
16	539	15314
17	549	14703
18	558	14129
19	566	13594
20	572	13059
21	584	12708
22	594	12321
23	603	11976
24	614	11677
25	627	11444
26	646	11327
27	654	11028
28	663	10769
29	672	10537
30	681	10311
31	693	10135
32	700	9918
33	709	9729
34	716	9518
35	725	9347
36	731	9148
37	739	8991
38	749	8857
39	758	8720
40	764	8554
41	777	8482
42	791	8415
43	802	8315
44	809	8182
45	819	8086
46	826	7963
47	842	7935
48	851	7834
49	858	7726
50	866	7632
51	874	7535
52	881	7436
53	890	7356
54	898	7267
55	906	7185
56	923	7174
57	934	7120
58	940	7028
59	949	6964
60	956	6882
61	968	6841
62	981	6811
63	990	6750
64	997	6675
65	1011	6648
66	1025	6630
67	1032	6558
68	1041	6504
69	1053	6471
70	1061	6412
71	1069	6354
72	1076	6297
73	1087	6261
74	1094	6201
75	1104	6162
76	1110	6100
77	1118	6052
78	1124	5994
79	1132	5946
80	1138	5889
81	1145	5840
82	1152	5791
83	1164	5764
84	1173	5727
85	1182	5692
86	1195	5677
87	1212	5677
88	1226	5662
89	1239	5648
90	1252	5630
91	1262	5600
92	1271	5564
93	1279	5524
94	1290	5499
95	1296	5455
96	1306	5426
97	1314	5390
98	1322	5355
99	1328	5313
100	1337	5284
101	1345	5251
102	1353	5218
103	1361	5182
104	1369	5151
105	1376	5116
106	1385	5088
107	1405	5103
108	1442	5175
109	1451	5147
110	1470	5152
111	1497	5188
112	1516	5193
113	1533	5190
114	1541	5161
115	1557	5155
116	1566	5128
117	1572	5090
118	1586	5078
119	1599	5065
120	1610	5045
121	1624	5031
122	1645	5042
123	1660	5033
124	1679	5038
125	1698	5042
126	1710	5024
127	1717	4992
128	1727	4967
129	1739	4950
130	1761	4961
131	1780	4962
132	1800	4966
133	1810	4944
134	1820	4922
135	1832	4904
136	1842	4881
137	1847	4846
138	1864	4843
139	1873	4816
140	1879	4785
141	1889	4763
142	1893	4727
143	1902	4703
144	1909	4675
145	1918	4652
146	1926	4625
147	1934	4601
148	1943	4579
149	1956	4564
150	1967	4547
151	1982	4538
152	1989	4512
153	1999	4491
154	2005	4464
155	2011	4435
156	2020	4414
157	2032	4399
158	2036	4368
159	2045	4347
160	2054	4326
161	2064	4307
162	2069	4278
163	2079	4261
164	2087	4238
165	2095	4216
166	2101	4190
167	2108	4166
168	2111	4136
169	2114	4104
170	2124	4088
171	2132	4067
172	2141	4047
173	2148	4024
174	2152	3997
175	2161	3979
176	2167	3954
177	2181	3945
178	2189	3927
179	2198	3908
180	2207	3890
181	2214	3869
182	2218	3842
183	2226	3824
184	2233	3803
185	2241	3784
186	2249	3764
187	2256	3744
188	2264	3726
189	2271	3706
190	2280	3689
191	2289	3672
192	2296	3653
193	2304	3634
194	2310	3614
195	2319	3597
196	2327	3579
197	2332	3557
198	2339	3538
199	2343	3515
200	2351	3498
201	2361	3484
202	2371	3469
203	2378	3450
204	2387	3435
205	2393	3415
206	2404	3403
207	2411	3385
208	2421	3371
209	2424	3348
210	2442	3345
211	2452	3331
212	2461	3317
213	2468	3298
214	2480	3288
215	2488	3271
216	2496	3255
217	2505	3241
218	2514	3225
219	2518	3205
220	2525	3187
221	2532	3170
222	2540	3155
223	2548	3139
224	2555	3123
225	2563	3108
226	2571	3092
227	2580	3078
228	2589	3064
229	2596	3048
230	2606	3035
231	2614	3019
232	2622	3004
233	2625	2984
234	2628	2964
235	2634	2946
236	2641	2931
237	2651	2918
238	2656	2901
239	2664	2887
240	2670	2870
241	2678	2855
242	2685	2839
243	2697	2830
244	2705	2816
245	2714	2802
246	2723	2789
247	2732	2776
248	2738	2760
249	2745	2745
250	2752	2730
251	2759	2715
252	2767	2701
253	2795	2707
254	2798	2688
255	2807	2675
256	2816	2663
257	2825	2650
258	2830	2634
259	2840	2622
260	2849	2609
261	2859	2597
262	2865	2582
263	2882	2576
264	2890	2563
265	2902	2553
266	2911	2540
267	2920	2528
268	2928	2514
269	2936	2501
270	2942	2486
271	2952	2474
272	2958	2459
273	2967	2447
274	2971	2431
275	2981	2419
276	2990	2407
277	2998	2394
278	3007	2382
279	3015	2369
280	3021	2354
281	3034	2346
282	3041	2332
283	3057	2325
284	3071	2316
285	3076	2302
286	3083	2288
287	3094	2277
288	3101	2264
289	3111	2253
290	3119	2240
291	3130	2229
292	3138	2217
293	3143	2202
294	3155	2192
295	3170	2184
296	3184	2176
297	3194	2165
298	3205	2154
299	3222	2148
300	3235	2139
301	3247	2128
302	3259	2119
303	3270	2108
304	3282	2098
305	3291	2087
306	3302	2076
307	3313	2065
308	3324	2055
309	3334	2043
310	3347	2034
311	3357	2023
312	3368	2012
313	3379	2001
314	3393	1993
315	3406	1983
316	3421	1975
317	3439	1968
318	3459	1963
319	3475	1954
320	3486	1944
321	3495	1932
322	3506	1921
323	3516	1910
324	3526	1898
325	3540	1889
326	3548	1877
327	3557	1865
328	3565	1853
329	3574	1841
330	3588	1832
331	3596	1819
332	3606	1808
333	3618	1798
334	3631	1788
335	3646	1779
336	3663	1771
337	3673	1760
338	3679	1747
339	3692	1737
340	3703	1726
341	3711	1714
342	3723	1704
343	3731	1692
344	3741	1680
345	3747	1668
346	3758	1657
347	3769	1646
348	3780	1635
349	3798	1628
350	3813	1618
351	3823	1607
352	3833	1596
353	3843	1585
354	3853	1574
355	3860	1561
356	3867	1549
357	3874	1536
358	3883	1525
359	3895	1514
360	3906	1504
361	3917	1493
362	3928	1482
363	3938	1471
364	3949	1460
365	3958	1449
366	3966	1437
367	3983	1428
368	3993	1417
369	4003	1406
370	4008	1393
371	4016	1382
372	4021	1369
373	4031	1358
374	4039	1346
375	4047	1334
376	4055	1323
377	4066	1312
378	4074	1300
379	4083	1289
380	4087	1276
381	4096	1265
382	4103	1253
383	4113	1242
384	4119	1230
385	4132	1220
386	4139	1208
387	4148	1197
388	4154	1185
389	4163	1174
390	4170	1162
391	4180	1151
392	4188	1140
393	4197	1129
394	4202	1117
395	4211	1106
396	4218	1094
397	4232	1084
398	4239	1073
399	4246	1061
400	4252	1049
401	4260	1038
402	4267	1027
403	4276	1016
404	4285	1005
405	4293	994
406	4303	983
407	4309	971
408	4318	960
409	4326	949
410	4336	938
411	4346	928
412	4353	917
413	4361	905
414	4367	894
415	4374	883
416	4381	872
417	4391	861
418	4398	850
419	4406	839
420	4414	828
421	4424	817
422	4432	806
423	4439	795
424	4445	784
425	4451	773
426	4459	762
427	4470	751
428	4478	741
429	4488	730
430	4493	719
431	4503	708
432	4510	697
433	4519	687
434	4526	676
435	4537	665
436	4550	656
437	4560	645
438	4570	635
439	4576	624
440	4585	613
441	4594	602
442	4602	592
443	4610	581
444	4619	570
445	4628	560
446	4634	549
447	4644	539
448	4651	528
449	4661	517
450	4669	507
451	4680	497
452	4688	486
453	4697	475
454	4702	465
455	4710	454
456	4715	443
457	4723	433
458	4729	422
459	4741	412
460	4750	401
461	4756	391
462	4763	380
463	4770	370
464	4780	359
465	4787	349
466	4797	339
467	4808	328
468	4816	318
469	4826	308
470	4835	297
471	4849	287
472	4857	277
473	4864	266
474	4871	256
475	4878	245
476	4885	235
477	4892	225
478	4900	214
479	4908	204
480	4917	194
481	4925	183
482	4933	173
483	4939	163
484	4947	153
485	4956	142
486	4963	132
487	4971	122
488	4982	112
489	4989	101
490	4996	91
491	5006	81
492	5023	71
493	5037	61
494	5051	51
495	5063	40
