airline,source_city,destination_city,journey_date,departure_time,arrival_time,total_stops,travel_class,booking_window_days,season,day_of_week,is_holiday,aircraft_type,distance_km,rating,price_inr,duration_minutes,journey_month,journey_day,departure_hour,arrival_hour,route
airasia india,delhi,hyderabad,25-04-2025,04:10,07:52,1,economy,12,monsoon,friday,0,A320,430,3.5,4337,222,4,25,4,7,delhi -> hyderabad
akasa air,bengaluru,pune,27-10-2025,13:45,18:09,0,economy,64,spring,monday,0,B787,492,4.7,2271,264,10,27,13,18,bengaluru -> pune
air india,ahmedabad,hyderabad,23-06-2025,00:20,03:44,1,economy,8,winter,monday,0,B737,428,4.7,3359,204,6,23,0,3,ahmedabad -> hyderabad
indigo,bengaluru,chennai,19-10-2025,07:00,11:18,0,business,67,spring,sunday,0,A321,1368,3.8,14767,258,10,19,7,11,bengaluru -> chennai
airasia india,kolkata,delhi,22-02-2025,11:45,18:09,2,economy,31,summer,saturday,0,ATR72,1025,4.7,6895,384,2,22,11,18,kolkata -> delhi
vistara,hyderabad,bengaluru,24-10-2025,19:40,23:22,0,economy,61,spring,friday,0,A350,995,4.4,4588,222,10,24,19,23,hyderabad -> bengaluru
akasa air,pune,bengaluru,11-01-2025,18:45,23:33,0,business,50,summer,saturday,0,A350,5765,4.3,20816,288,1,11,18,23,pune -> bengaluru
akasa air,delhi,ahmedabad,27-06-2025,17:45,21:21,0,economy,83,winter,friday,0,A321,2020,4.7,6976,216,6,27,17,21,delhi -> ahmedabad
air india,chennai,hyderabad,04-07-2025,05:30,07:36,0,economy,7,winter,friday,0,B737,817,4.4,5493,126,7,4,5,7,chennai -> hyderabad
akasa air,pune,mumbai,13-08-2025,02:00,08:00,1,economy,4,winter,wednesday,0,B787,2656,4.3,14377,360,8,13,2,8,pune -> mumbai
air india,ahmedabad,chennai,03-11-2025,16:15,21:15,1,economy,61,spring,monday,0,ATR72,2379,3.9,9322,300,11,3,16,21,ahmedabad -> chennai
air india,pune,delhi,17-10-2025,21:15,23:03,1,economy,80,spring,friday,0,B737,2338,4.8,9237,108,10,17,21,23,pune -> delhi
airasia india,chennai,ahmedabad,04-09-2025,09:40,14:52,0,economy,97,spring,thursday,0,A350,1927,4.9,7968,312,9,4,9,14,chennai -> ahmedabad
air india,bengaluru,mumbai,02-11-2025,00:30,05:12,0,economy,33,spring,sunday,0,A321,750,4.4,3357,282,11,2,0,5,bengaluru -> mumbai
indigo,kolkata,pune,07-12-2025,13:00,19:06,0,economy,61,summer,sunday,0,A350,933,4.4,4156,366,12,7,13,19,kolkata -> pune
vistara,chennai,mumbai,12-09-2025,23:45,02:15,1,economy,65,spring,friday,0,B787,1750,3.6,7036,150,9,12,23,2,chennai -> mumbai
indigo,delhi,pune,17-09-2025,12:50,16:08,2,economy,61,spring,wednesday,0,B787,2142,4.8,10744,198,9,17,12,16,delhi -> pune
indigo,chennai,ahmedabad,04-10-2025,23:00,04:24,1,economy,77,spring,saturday,0,B787,964,3.8,7310,324,10,4,23,4,chennai -> ahmedabad
airasia india,mumbai,kolkata,05-08-2025,03:30,05:30,0,economy,31,winter,tuesday,0,B737,2092,3.6,9497,120,8,5,3,5,mumbai -> kolkata
indigo,chennai,ahmedabad,10-02-2025,13:15,17:03,0,economy,85,summer,monday,0,B787,2126,4.3,7991,228,2,10,13,17,chennai -> ahmedabad
air india,kolkata,chennai,13-04-2025,04:20,08:32,0,economy,48,monsoon,sunday,0,A350,2559,3.7,9856,252,4,13,4,8,kolkata -> chennai
air india,ahmedabad,bengaluru,15-03-2025,10:40,16:22,2,economy,17,monsoon,saturday,0,A321,2409,4.3,12884,342,3,15,10,16,ahmedabad -> bengaluru
akasa air,ahmedabad,kolkata,09-01-2025,11:40,17:22,0,economy,102,summer,thursday,0,B737,409,4.3,2498,342,1,9,11,17,ahmedabad -> kolkata
akasa air,bengaluru,ahmedabad,15-10-2025,22:30,01:18,0,economy,32,spring,wednesday,1,ATR72,2475,3.8,11357,168,10,15,22,1,bengaluru -> ahmedabad
vistara,chennai,pune,01-02-2025,21:10,00:22,1,economy,119,summer,saturday,0,B787,1573,4.5,8941,192,2,1,21,0,chennai -> pune
indigo,pune,bengaluru,05-12-2025,17:15,21:33,0,economy,69,summer,friday,0,B737,821,4.5,3809,258,12,5,17,21,pune -> bengaluru
airasia india,bengaluru,mumbai,26-08-2025,01:45,07:45,0,economy,32,winter,tuesday,0,A321,1652,4.4,7628,360,8,26,1,7,bengaluru -> mumbai
airasia india,delhi,ahmedabad,04-01-2025,13:15,17:39,0,economy,91,summer,saturday,0,A320,1195,4.2,5563,1074,1,4,13,17,delhi -> ahmedabad
akasa air,pune,kolkata,13-03-2025,22:10,03:10,0,economy,56,monsoon,thursday,0,B787,611,4,4969,300,3,13,22,3,pune -> kolkata
vistara,pune,ahmedabad,09-08-2025,20:15,23:39,1,economy,62,winter,saturday,0,A320,1931,4.9,8606,204,8,9,20,23,pune -> ahmedabad
air india,mumbai,kolkata,13-03-2025,05:40,10:04,1,economy,111,monsoon,thursday,0,B737,339,4.2,3069,264,3,13,5,10,mumbai -> kolkata
airasia india,chennai,ahmedabad,09-03-2025,07:15,12:45,1,economy,87,monsoon,sunday,0,A350,882,4.3,5323,330,3,9,7,12,chennai -> ahmedabad
airasia india,pune,hyderabad,22-02-2025,10:40,15:28,1,economy,61,summer,saturday,0,ATR72,885,3.6,2615,288,2,22,10,15,pune -> hyderabad
airasia india,delhi,bengaluru,03-05-2025,01:20,02:38,0,economy,59,monsoon,saturday,0,B737,525,3.9,5169,78,5,3,1,2,delhi -> bengaluru
akasa air,bengaluru,pune,06-05-2025,04:00,08:48,0,economy,82,monsoon,tuesday,0,ATR72,339,4.8,1500,288,5,6,4,8,bengaluru -> pune
air india,ahmedabad,hyderabad,01-02-2025,07:15,09:51,1,economy,83,summer,saturday,0,A320,2700,3.9,10059,156,2,1,7,9,ahmedabad -> hyderabad
airasia india,kolkata,ahmedabad,30-10-2025,00:40,06:34,0,economy,25,spring,thursday,0,ATR72,2316,4.3,8630,354,10,30,0,6,kolkata -> ahmedabad
spicejet,pune,delhi,13-07-2025,11:45,14:09,1,economy,84,winter,sunday,0,B787,1223,3.7,5561,144,7,13,11,14,pune -> delhi
airasia india,delhi,hyderabad,05-10-2025,13:20,16:32,1,economy,105,spring,sunday,0,B787,2493,4.5,11067,192,10,5,13,16,delhi -> hyderabad
